,Year,G,Pos,AST,BLK,Player,FG,STL,PTS,TRB,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
3560,1989.0,42.0,SF,33.0,13.0,Shelton Jones,81.0,16.0,212.0,95.0,3.883333333333333,1.1119047619047615,4.9952380952380935,5.047619047619048,0.7857142857142857,2.261904761904762,0.30952380952380953,0.3809523809523809,1.9285714285714288
2603,1987.0,34.0,SF,35.0,2.0,Junior Bridgeman,79.0,10.0,175.0,52.0,4.041176470588234,0.7176470588235295,4.758823529411764,5.147058823529412,1.0294117647058822,1.5294117647058822,0.05882352941176471,0.29411764705882354,2.323529411764706
2918,1987.0,79.0,SF,261.0,51.0,Dominique Wilkins*,828.0,117.0,2294.0,494.0,22.03544303797468,3.1392405063291138,25.1746835443038,29.037974683544306,3.3037974683544302,6.253164556962025,0.6455696202531646,1.4810126582278482,10.481012658227847
3417,1989.0,14.0,SG,5.0,0.0,Tony Brown,14.0,3.0,36.0,15.0,1.9714285714285715,0.4928571428571429,2.4642857142857144,2.571428571428572,0.35714285714285715,1.0714285714285714,0.0,0.21428571428571427,1.0
1837,1985.0,82.0,SF,208.0,33.0,Greg Ballard,469.0,100.0,1072.0,531.0,10.230487804878047,3.076829268292683,13.307317073170733,13.073170731707316,2.5365853658536586,6.475609756097561,0.4024390243902439,1.2195121951219512,5.719512195121951
798,1982.0,48.0,C,55.0,55.0,Darryl Dawkins,207.0,19.0,528.0,305.0,8.360416666666666,3.0041666666666664,11.364583333333332,11.0,1.1458333333333333,6.354166666666668,1.1458333333333333,0.3958333333333333,4.3125
1566,1984.0,65.0,PF,30.0,30.0,Len Elmore,64.0,29.0,155.0,165.0,1.86,1.2876923076923077,3.147692307692308,2.3846153846153846,0.4615384615384616,2.5384615384615383,0.4615384615384616,0.4461538461538462,0.9846153846153848
1619,1984.0,78.0,PF,219.0,30.0,Mickey Johnson,359.0,101.0,1062.0,518.0,10.552564102564103,3.16025641025641,13.712820512820516,13.615384615384615,2.8076923076923075,6.641025641025642,0.38461538461538464,1.294871794871795,4.602564102564102
1092,1982.0,10.0,PF,3.0,2.0,Rich Yonakor,14.0,1.0,33.0,27.0,2.51,1.1700000000000002,3.68,3.3,0.3,2.7,0.2,0.1,1.4
1313,1983.0,14.0,SF,2.0,0.0,Dave Magley,4.0,2.0,12.0,10.0,0.6571428571428571,0.32857142857142857,0.9857142857142858,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.2857142857142857
2556,1986.0,82.0,PF,45.0,44.0,Kevin Willis,419.0,66.0,1010.0,704.0,9.242682926829268,3.836585365853659,13.079268292682926,12.317073170731707,0.5487804878048781,8.585365853658537,0.5365853658536586,0.8048780487804879,5.109756097560974
1460,1983.0,46.0,C,42.0,15.0,Jerome Whitehead,164.0,21.0,400.0,261.0,6.626086956521739,2.5043478260869567,9.130434782608695,8.695652173913043,0.9130434782608696,5.673913043478262,0.32608695652173914,0.4565217391304348,3.565217391304348
1435,1983.0,73.0,PF,50.0,47.0,Ray Tolbert,157.0,26.0,366.0,242.0,3.8616438356164378,1.626027397260274,5.487671232876712,5.013698630136987,0.6849315068493149,3.315068493150685,0.6438356164383562,0.3561643835616438,2.150684931506849
117,1980.0,55.0,SG,221.0,14.0,Terry Furlow,364.0,54.0,878.0,152.0,12.64,1.4763636363636363,14.116363636363635,15.963636363636365,4.0181818181818185,2.763636363636364,0.2545454545454545,0.9818181818181818,6.618181818181817
3149,1988.0,82.0,PF,71.0,84.0,Cliff Levingston,314.0,52.0,819.0,504.0,7.5475609756097555,2.9560975609756097,10.503658536585366,9.98780487804878,0.8658536585365854,6.146341463414633,1.024390243902439,0.6341463414634146,3.829268292682927
